"browser","language","benchmark","avg_memory","avg_cpu"
"firefox","rust","fannkuch_redux",1351532.66666667,60.1666666666667
"firefox","rust","fannkuch_redux",1298051,48.5714285714286
"firefox","rust","fannkuch_redux",1289587.5,8.56666666666667
"firefox","rust","fannkuch_redux",1281757,25.3
"firefox","rust","fannkuch_redux",1275583,2.5
"firefox","rust","fannkuch_redux",1257859.42857143,6.45714285714286
"chrome","c","binary_trees",1394202.33333333,5.46666666666667
"chrome","c","binary_trees",1380686,16.8666666666667
"chrome","c","binary_trees",1427319,32.0666666666667
"chrome","c","binary_trees",1406411.33333333,39
"chrome","c","binary_trees",1613246.66666667,48
"chrome","c","binary_trees",1626212.66666667,59.6666666666667
"chrome","c","binary_trees",1395661,5.15
"chrome","c","binary_trees",1402623,4.7
"chrome","c","binary_trees",1407263,5.25
"chrome","c","binary_trees",1396795.5,5.5
"firefox","c","binary_trees",1493025.25,2.7
"firefox","c","binary_trees",1388411,5.16666666666667
"firefox","c","binary_trees",1403688.66666667,4.93333333333333
"firefox","c","binary_trees",1415703.33333333,4.9
"firefox","c","binary_trees",1419788.33333333,4.4
"firefox","c","binary_trees",1618446,24
"firefox","c","binary_trees",1622810,24
"firefox","c","binary_trees",1621111.66666667,23
"firefox","c","binary_trees",1627769,44
"firefox","c","binary_trees",1425173.66666667,15.2666666666667
"chrome","cpp","fasta",1396575.75,5.05
"chrome","cpp","fasta",1427377.5,38
"chrome","cpp","fasta",1419146.25,66.25
"chrome","cpp","fasta",1620938.75,40
"chrome","cpp","fasta",1627892.5,77.25
"chrome","cpp","fasta",1620593.75,34
"chrome","cpp","fasta",1478588,12.975
"chrome","cpp","fasta",1468621.66666667,9.4
"chrome","cpp","fasta",1397813.33333333,4.83333333333333
"chrome","cpp","fasta",1411641.66666667,4.83333333333333
"firefox","cpp","fasta",1403218.66666667,16.8
"firefox","cpp","fasta",1411227.75,4.775
"firefox","cpp","fasta",1418222.5,4.7
"firefox","cpp","fasta",1459670.75,27
"firefox","cpp","fasta",1487183,59
"firefox","cpp","fasta",1486853,26
"firefox","cpp","fasta",1615310.25,31
"firefox","cpp","fasta",1617049.5,41
"firefox","cpp","fasta",1626017,42
"firefox","cpp","fasta",1431948.5,11.825
"chrome","go","fannkuch_redux",1202965.28125,25.7103448275862
"chrome","go","fannkuch_redux",1293800.57534247,42.3030303030303
"chrome","go","fannkuch_redux",1275207.27777778,35.3809523809524
"chrome","go","fannkuch_redux",1316863.69230769,42
"chrome","go","fannkuch_redux",1278472.74285714,38.15
"chrome","go","fannkuch_redux",1305021.67567568,47.8888888888889
"chrome","go","fannkuch_redux",1405821.9047619,56.4047619047619
"chrome","go","fannkuch_redux",1332736.33333333,33.4931034482759
"chrome","go","fannkuch_redux",1278543.05405405,20.8675675675676
"chrome","go","fannkuch_redux",1301044.76923077,17.21875
"firefox","go","fannkuch_redux",1270963.83333333,32.2083333333333
"firefox","go","fannkuch_redux",1254023.14102564,23.063829787234
"firefox","go","fannkuch_redux",1263161.75641026,24.4918032786885
"firefox","go","fannkuch_redux",1248562.31460674,23.4931506849315
"firefox","go","fannkuch_redux",1278853.48387097,27.9347826086957
"firefox","go","fannkuch_redux",1278027.27205882,20.9139784946237
"firefox","go","fannkuch_redux",1331635.46969697,39.8484848484849
"firefox","go","fannkuch_redux",1280879.45967742,14.5525423728814
"firefox","go","fannkuch_redux",1324593.63636364,12.5763157894737
"firefox","go","fannkuch_redux",1274269.54117647,19.2556962025316
"chrome","rust","spectral_norm",1396498,17.6285714285714
"chrome","rust","spectral_norm",1379050.66666667,16.5333333333333
"chrome","rust","spectral_norm",1389258.33333333,16.3333333333333
"chrome","rust","spectral_norm",1407603.16666667,10.3666666666667
"chrome","rust","spectral_norm",1406054,50.5714285714286
"chrome","rust","spectral_norm",1418522.75,37.375
"chrome","rust","spectral_norm",1482741.28571429,44.4285714285714
"chrome","rust","spectral_norm",1571246.28571429,47.7142857142857
"chrome","rust","spectral_norm",1578090.57142857,61.5714285714286
"chrome","rust","spectral_norm",1625055.28571429,36
"firefox","rust","spectral_norm",1406891,20
"firefox","rust","spectral_norm",1402245.71428571,14.8285714285714
"firefox","rust","spectral_norm",1416291.14285714,22.7571428571429
"firefox","rust","spectral_norm",1451919.85714286,62.1428571428571
"firefox","rust","spectral_norm",1461931.25,32
"firefox","rust","spectral_norm",1607868.28571429,26
"firefox","rust","spectral_norm",1611199,48.2857142857143
"firefox","rust","spectral_norm",1619236.42857143,38.2857142857143
"firefox","rust","spectral_norm",1408832.85714286,15.6714285714286
"firefox","rust","spectral_norm",1416617.14285714,13.9142857142857
"chrome","c","fannkuch_redux",1256170.48484848,44.9818181818182
"chrome","c","fannkuch_redux",1273060.91836735,39.4285714285714
"chrome","c","fannkuch_redux",1263383.7755102,39.5
"chrome","c","fannkuch_redux",1247835.4,39.6470588235294
"chrome","c","fannkuch_redux",1293488.14893617,39.7631578947368
"chrome","c","fannkuch_redux",1345454.3125,62.9625
"chrome","c","fannkuch_redux",1314936.68085106,21.3675675675676
"chrome","c","fannkuch_redux",1269720.5625,21.3926829268293
"chrome","c","fannkuch_redux",1262792.85714286,23.5466666666667
"chrome","c","fannkuch_redux",1296771.28571429,22.7591836734694
"firefox","c","fannkuch_redux",1207629.93333333,28.7714285714286
"firefox","c","fannkuch_redux",1229027.55555556,32.6545454545455
"firefox","c","fannkuch_redux",1290232.72916667,21.3026315789474
"firefox","c","fannkuch_redux",1244145.58823529,47
"firefox","c","fannkuch_redux",1273526.0877193,21.9078947368421
"firefox","c","fannkuch_redux",1301702.14117647,23.2876712328767
"firefox","c","fannkuch_redux",1297127.62745098,24.3218390804598
"firefox","c","fannkuch_redux",1307632.56578947,37.3026315789474
"firefox","c","fannkuch_redux",1311297.2962963,41
"firefox","c","fannkuch_redux",1277400.23423423,13.0692307692308
"chrome","cpp","binary_trees",1428741.33333333,19.1
"chrome","cpp","binary_trees",1418574.5,11.0333333333333
"chrome","cpp","binary_trees",1432066.33333333,6.91666666666667
