"browser","language","benchmark","avg_energy"
"chrome","cpp","fasta",3.83658349
"firefox","cpp","fasta",7.7096561075
"firefox","cpp","fasta",4.9418249445
"firefox","cpp","fasta",5.027939578
"firefox","cpp","fasta",5.3206097945
"firefox","cpp","fasta",6.393625897
"firefox","cpp","fasta",5.025933927
"firefox","cpp","fasta",3.8047567885
"firefox","cpp","fasta",4.988736467
"firefox","cpp","fasta",4.3667500235
"firefox","cpp","fasta",5.647900696
"chrome","go","fannkuch_redux",64.9983885335
"chrome","go","fannkuch_redux",62.4664454795
"chrome","go","fannkuch_redux",55.6717835745
"chrome","go","fannkuch_redux",55.026917169
"chrome","go","fannkuch_redux",51.9953915085
"chrome","go","fannkuch_redux",52.48607035
"chrome","go","fannkuch_redux",52.2532268725
"chrome","go","fannkuch_redux",57.1892507965
"chrome","go","fannkuch_redux",49.58666845
"chrome","go","fannkuch_redux",58.813353344
"firefox","go","fannkuch_redux",52.2688183685
"firefox","go","fannkuch_redux",104.0181199955
"firefox","go","fannkuch_redux",63.374207538
"firefox","go","fannkuch_redux",89.098776821
"firefox","go","fannkuch_redux",95.398718527
"firefox","go","fannkuch_redux",85.1558526415
"firefox","go","fannkuch_redux",119.0147770175
"firefox","go","fannkuch_redux",55.0137237465
"firefox","go","fannkuch_redux",96.4590443735
"firefox","go","fannkuch_redux",91.1853447035
"chrome","rust","spectral_norm",11.208306524
"chrome","rust","spectral_norm",13.6529676675
"chrome","rust","spectral_norm",11.686347964
"chrome","rust","spectral_norm",13.205313836
"chrome","rust","spectral_norm",8.6066902155
"chrome","rust","spectral_norm",11.726652211
"chrome","rust","spectral_norm",13.1626485415
"chrome","rust","spectral_norm",13.174611707
"chrome","rust","spectral_norm",14.3897147755
"chrome","rust","spectral_norm",13.35698764
"firefox","rust","spectral_norm",13.446636797
"firefox","rust","spectral_norm",13.6371144385
"firefox","rust","spectral_norm",13.134925466
"firefox","rust","spectral_norm",13.9098364375
"firefox","rust","spectral_norm",15.297836764
"firefox","rust","spectral_norm",14.348008802
"firefox","rust","spectral_norm",14.672721343
"firefox","rust","spectral_norm",14.926790317
"firefox","rust","spectral_norm",14.768408958
"firefox","rust","spectral_norm",13.558823084
"chrome","c","fannkuch_redux",81.7953933245
"chrome","c","fannkuch_redux",75.4619883445
"chrome","c","fannkuch_redux",79.984807953
"chrome","c","fannkuch_redux",73.953536844
"chrome","c","fannkuch_redux",80.3334509365
"chrome","c","fannkuch_redux",74.640284398
"chrome","c","fannkuch_redux",77.1683277235
"chrome","c","fannkuch_redux",83.123119394
"chrome","c","fannkuch_redux",71.533678611
