Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
20743,2373512,20753,2778627,1377579,20764,50
20843,2373004,20853,2313615,912567,20862,45
20944,2373072,20956,2513721,1112673,20967,49
21045,2373164,21058,1743322,342274,21072,54
21147,2373216,21160,1592832,191784,21171,53
21248,2373216,21264,2439986,1038938,21278,50
21348,2373712,21361,2054654,653606,21374,53
21449,2373516,21464,2377202,976154,21477,53
21552,2373568,21567,1649479,248431,21584,53
21650,2373816,21664,2616112,1215064,21678,57
21751,2373816,21766,1889692,488644,21779,54
21851,2373620,21863,2408341,1007293,21875,51
21951,2373920,21963,1638671,237623,21975,48
22050,2373764,22058,2651404,1250356,22065,50
22151,2373568,22161,2511274,1110226,22171,52
22252,2359704,22262,2449324,1048276,22265,48
22352,2359952,22356,3001636,1600588,22360,49
22455,2359756,22471,1824115,423067,22484,50
22557,2360252,22569,2442030,1040982,22589,53
22655,2358344,22665,2764802,1363754,22674,53
22755,2358592,22765,2690336,1289288,22774,46
22856,2358580,22865,2546782,1145734,22873,47
22956,2359312,22965,2664630,1263582,22974,49
23058,2359900,23068,2080297,679249,23079,48
23158,2360200,23169,2965106,1564058,23182,50
23260,2360448,23271,1770031,368983,23281,47
23360,2360492,23372,2545499,1144451,23382,49
23460,2361236,23471,1570907,169859,23481,47
23561,2361536,23571,2473537,1072489,23582,51
23661,2361996,23671,1934959,533911,23682,48
23762,2362244,23771,2011080,610032,23782,44
23862,2362740,23873,2022461,621413,23883,54
23963,2363376,23976,1837399,436351,23988,49
24063,2364636,24072,3418668,2017620,24081,70
24164,2365132,24174,2115029,713981,24184,56
24264,2365380,24273,2121384,720336,24282,51
24365,2365628,24374,2720571,1319523,24383,47
24466,2366124,24477,1763456,362408,24488,48
24566,2366372,24576,1781376,380328,24588,47
24668,2366868,24680,1817724,416676,24692,47
24768,2367484,24778,1959693,558645,24789,48
24869,2367732,24881,2037626,636578,24893,49
24969,2368476,24982,1989152,588104,24993,52
25070,2368424,25081,2152977,751929,25092,47
25171,2369416,25182,2102315,701267,25194,51
25272,2369664,25284,3202557,1801509,25296,47
25372,2368428,25381,2245738,844690,25385,48
25473,2368676,25483,2254172,853124,25495,52
25573,2369172,25584,2069608,668560,25595,50
25673,2369668,25683,2071647,670599,25694,48
25774,2370412,25785,2151518,750470,25796,48
25875,2370588,25885,2240514,839466,25897,48
25975,2370880,25985,2813270,1412222,25995,48
26075,2371620,26087,2154426,753378,26098,53
26176,2371672,26186,2554000,1152952,26195,51
26277,2372168,26286,2545518,1144470,26296,54
26378,2372928,26389,2333559,932511,26400,48
26477,2372980,26484,2317311,916263,26492,58
26578,2372784,26588,2320154,919106,26598,49
26679,2373032,26691,1894527,493479,26704,49
26781,2373156,26793,2095801,694753,26805,52
26880,2373012,26891,1924985,523937,26901,50
26981,2373324,26993,2392353,991305,27006,53
27081,2373264,27091,2143327,742279,27099,48
27182,2373264,27192,1969539,568491,27200,50
27282,2373512,27292,2962146,1561098,27302,51
27384,2373316,27396,2318182,917134,27408,48
27483,2373316,27488,2292163,891115,27494,50
27585,2373616,27598,1647596,246548,27611,51
27685,2373028,27697,2709358,1308310,27709,47
27786,2373400,27797,1897509,496461,27807,48
27886,2373772,27897,2367418,966370,27908,49
27986,2374064,27998,2328795,927747,28011,54
28087,2371928,28097,2740256,1339208,28107,52
28187,2371928,28197,2038406,637358,28208,45
28288,2371928,28297,1801238,400190,28306,48
28388,2371980,28398,2742679,1341631,28408,51
28489,2372228,28500,2236474,835426,28505,53
28589,2372276,28599,2678665,1277617,28606,48
28689,2372276,28693,2233648,832600,28699,47
28792,2372328,28803,1846854,445806,28814,46
28893,2372256,28906,2287495,886447,28922,52
28993,2372580,29006,2034284,633236,29018,52
29094,2372548,29107,2517026,1115978,29120,45
29194,2372548,29206,1898059,497011,29219,51
29294,2372600,29304,2777369,1376321,29314,51
29394,2374376,29403,1783043,381995,29412,0
29495,2374624,29504,2242151,841103,29513,56
29596,2374944,29606,2359925,958877,29615,54
29696,2374944,29706,2634934,1233886,29715,57
29797,2375192,29807,2330379,929331,29815,55
29897,2375192,29907,2482423,1081375,29913,58
29998,2375156,30008,2494078,1093030,30016,56
30099,2375156,30108,2326292,925244,30117,53
30199,2375404,30209,2396919,995871,30217,56
30300,2375404,30309,2415277,1014229,30318,52
30401,2375256,30410,2200711,799663,30414,52
30501,2375472,,,,,
